Date,Product Name,Category,Sales Revenue,Quantity Sold,Cost Price,Selling Price,Profit/Loss,Customer ID,Store Location
2024-05-24,Smartphone,Electronics,12265.259999999998,19,431.13,645.54,4073.7899999999995,9cbbcab0,Charlesmouth
2024-12-04,Sofa,Furniture,9255.36,16,436.73,578.46,2267.6800000000003,7145f410,Tracytown
2024-05-19,Eggs,Groceries,28.3,1,20.79,28.3,7.510000000000002,6f0d89ff,Kellybury
2024-10-07,Sweater,Clothing,4633.35,17,219.25,272.55,906.1000000000001,304afcbf,New Thomasview
2024-11-26,Tablet,Electronics,3850.0199999999995,18,165.41,213.89,872.6399999999999,da416274,East Michaelberg
2024-10-26,Bread,Groceries,342.28,4,77.75,85.57,31.279999999999973,a8127435,Michaelfort
2024-05-12,Smartwatch,Electronics,960.05,13,64.96,73.85,115.57000000000001,bd3c3270,New Jeffrey
2024-03-27,Laptop,Electronics,78.84,6,9.18,13.14,23.760000000000005,89c223a6,Thomasfurt
2024-06-23,Cheese,Groceries,11969.460000000001,18,493.58,664.97,3085.020000000001,7956e28b,Carlland
2024-10-24,T-Shirt,Clothing,6563.64,12,478.62,546.97,820.2000000000003,381c8edb,Lake Vickimouth
2025-02-05,Cabinet,Furniture,1546.02,18,72.24,85.89,245.7000000000001,7b12f0e6,Barbaraport
2024-07-05,Milk,Groceries,7920.2,20,320.13,396.01,1517.6,84e8a7fa,South Kathrynfurt
2024-12-21,Jeans,Clothing,1345.44,4,276.73,336.36,238.51999999999998,ef8351bb,West Miranda
2024-09-25,Chair,Furniture,580.64,16,25.67,36.29,169.91999999999996,d88cc10a,Michellestad
2024-07-23,Action Figure,Toys,2221.56,4,432.39,555.39,492.0,8929fe57,Lake Carolbury
2024-10-20,Doll,Toys,3015.96,6,413.27,502.66,536.3400000000003,88c067ec,Port Tara
2025-02-11,Sweater,Clothing,3321.42,6,480.62,553.57,437.7000000000003,5a2c897d,Rebeccatown
2024-12-07,Jacket,Clothing,6779.259999999999,17,271.16,398.78,2169.539999999999,15752032,Karenburgh
2024-10-05,Table,Furniture,5119.200000000001,12,362.98,426.6,763.44,eb350c12,North Joseph
2024-10-15,Bread,Groceries,415.6,8,41.06,51.95,87.12,251f6723,West Wandamouth
2024-09-24,Table,Furniture,1305.18,2,485.69,652.59,333.80000000000007,1be18f0b,Nelsonborough
